BlockID,YEAR,Violent_Crime,Property_Crime
1,2015,0,3
1,2016,0,5
1,2017,1,3
1,2018,0,0
1,2019,0,2
1,2020,0,0
1,2021,0,0
1,2022,1,0
1,2023,0,1
1,2024,0,2
2,2015,0,1
2,2016,2,3
2,2017,1,0
2,2018,0,0
2,2019,0,2
2,2020,0,2
2,2021,0,1
2,2022,0,2
2,2023,0,0
2,2024,0,2
3,2015,0,1
3,2016,0,1
3,2017,0,2
3,2018,0,2
3,2019,1,2
3,2020,0,0
3,2021,0,0
3,2022,0,0
3,2023,0,3
3,2024,0,0
4,2015,0,2
4,2016,0,2
4,2017,0,3
4,2018,0,1
4,2019,0,0
4,2020,0,2
4,2021,0,1
4,2022,0,0
4,2023,0,0
4,2024,1,0
5,2015,0,1
5,2016,0,1
5,2017,0,0
5,2018,0,0
5,2019,0,0
5,2020,0,2
5,2021,0,0
5,2022,0,0
5,2023,0,0
5,2024,0,2
6,2015,0,0
6,2016,0,2
6,2017,0,1
6,2018,0,3
6,2019,0,1
6,2020,0,0
6,2021,0,0
6,2022,0,0
6,2023,0,0
6,2024,0,0
7,2015,0,1
7,2016,0,0
7,2017,0,0
7,2018,0,1
7,2019,0,3
7,2020,0,1
7,2021,0,0
7,2022,0,0
7,2023,0,0
7,2024,0,0
8,2015,0,0
8,2016,0,0
8,2017,0,0
8,2018,0,0
8,2019,0,1
8,2020,0,0
8,2021,0,1
8,2022,0,0
8,2023,0,0
8,2024,0,0
9,2015,0,2
9,2016,1,1
9,2017,1,1
9,2018,0,2
9,2019,0,1
9,2020,0,0
9,2021,0,0
9,2022,1,1
9,2023,0,0
9,2024,0,0
10,2015,0,0
10,2016,0,0
10,2017,0,2
10,2018,0,0
10,2019,0,0
10,2020,0,0
10,2021,0,0
10,2022,0,0
10,2023,0,0
10,2024,0,0
11,2015,3,0
11,2016,1,1
11,2017,1,0
11,2018,0,0
11,2019,0,0
11,2020,0,0
11,2021,0,0
11,2022,0,0
11,2023,0,1
11,2024,0,1
12,2015,0,1
12,2016,0,1
12,2017,0,1
12,2018,0,2
12,2019,0,5
12,2020,0,0
12,2021,0,2
12,2022,0,0
12,2023,0,3
12,2024,0,0
13,2015,1,1
13,2016,0,1
13,2017,0,1
13,2018,0,0
13,2019,0,0
13,2020,0,0
13,2021,0,0
13,2022,0,0
13,2023,0,0
13,2024,0,0
14,2015,0,1
14,2016,0,0
14,2017,0,0
14,2018,0,1
14,2019,0,0
14,2020,0,0
14,2021,0,0
14,2022,0,1
14,2023,0,0
14,2024,0,0
15,2015,0,0
15,2016,0,0
15,2017,0,0
15,2018,0,0
15,2019,0,0
15,2020,0,0
15,2021,0,0
15,2022,0,0
15,2023,0,1
15,2024,0,0
16,2015,0,3
16,2016,0,1
16,2017,0,1
16,2018,0,0
16,2019,0,1
16,2020,0,0
16,2021,0,0
16,2022,0,0
16,2023,0,0
16,2024,0,0
17,2015,0,1
17,2016,0,1
17,2017,0,2
17,2018,0,1
17,2019,0,0
17,2020,0,0
17,2021,0,0
17,2022,0,0
17,2023,0,3
17,2024,0,0
18,2015,0,0
18,2016,0,1
18,2017,0,1
18,2018,0,0
18,2019,0,0
18,2020,1,0
18,2021,0,0
18,2022,0,0
18,2023,0,0
18,2024,0,0
19,2015,0,2
19,2016,1,4
19,2017,0,1
19,2018,0,2
19,2019,0,3
19,2020,0,0
19,2021,1,4
19,2022,0,1
19,2023,2,1
19,2024,1,0
20,2015,0,1
20,2016,0,0
20,2017,0,0
20,2018,0,1
20,2019,0,0
20,2020,0,0
20,2021,0,1
20,2022,0,1
20,2023,0,1
20,2024,0,0
21,2015,0,2
21,2016,0,2
21,2017,1,2
21,2018,0,4
21,2019,1,1
21,2020,0,0
21,2021,0,1
21,2022,0,0
21,2023,0,1
21,2024,0,1
22,2015,1,0
22,2016,0,1
22,2017,0,1
22,2018,0,1
22,2019,0,0
22,2020,0,2
22,2021,0,1
22,2022,0,0
22,2023,0,0
22,2024,0,0
23,2015,0,3
23,2016,0,1
23,2017,0,1
23,2018,2,3
23,2019,0,2
23,2020,0,0
23,2021,1,0
23,2022,1,0
23,2023,1,1
23,2024,0,0
24,2015,0,1
24,2016,0,0
24,2017,0,2
24,2018,0,0
24,2019,0,2
24,2020,0,1
24,2021,0,0
24,2022,0,0
24,2023,0,0
24,2024,0,0
25,2015,0,2
25,2016,0,1
25,2017,0,0
25,2018,0,0
25,2019,0,0
25,2020,0,0
25,2021,0,0
25,2022,0,0
25,2023,0,0
25,2024,0,0
26,2015,1,0
26,2016,2,2
26,2017,1,4
26,2018,0,0
26,2019,1,3
26,2020,1,0
26,2021,0,0
26,2022,0,0
26,2023,0,0
26,2024,0,0
27,2015,0,0
27,2016,0,1
27,2017,0,0
27,2018,0,0
27,2019,0,1
27,2020,0,0
27,2021,0,0
27,2022,0,0
27,2023,1,0
27,2024,0,0
28,2015,0,1
28,2016,0,1
28,2017,0,0
28,2018,0,1
28,2019,0,1
28,2020,0,1
28,2021,0,1
28,2022,0,0
28,2023,0,0
28,2024,0,1
29,2015,0,2
29,2016,0,3
29,2017,0,0
29,2018,0,0
29,2019,0,1
29,2020,0,0
29,2021,0,0
29,2022,0,1
29,2023,0,1
29,2024,0,0
30,2015,0,0
30,2016,0,0
30,2017,0,0
30,2018,0,0
30,2019,0,0
30,2020,0,0
30,2021,0,0
30,2022,0,0
30,2023,0,0
30,2024,0,0
31,2015,0,1
31,2016,0,0
31,2017,0,0
31,2018,0,0
31,2019,1,3
31,2020,0,1
31,2021,0,2
31,2022,0,4
31,2023,0,1
31,2024,0,0
32,2015,0,4
32,2016,0,13
32,2017,1,6
32,2018,0,8
32,2019,2,7
32,2020,2,5
32,2021,0,4
32,2022,0,7
32,2023,2,8
32,2024,5,11
33,2015,0,0
33,2016,0,0
33,2017,0,0
33,2018,0,0
33,2019,0,1
33,2020,0,0
33,2021,0,0
33,2022,0,0
33,2023,0,0
33,2024,0,0
34,2015,1,0
34,2016,1,1
34,2017,0,2
34,2018,0,3
34,2019,0,2
34,2020,1,2
34,2021,0,0
34,2022,0,1
34,2023,0,0
34,2024,1,0
35,2015,0,0
35,2016,0,0
35,2017,0,1
35,2018,0,1
35,2019,0,0
35,2020,0,0
35,2021,0,1
35,2022,0,0
35,2023,0,0
35,2024,0,0
36,2015,0,1
36,2016,0,0
36,2017,0,3
36,2018,0,2
36,2019,0,1
36,2020,0,0
36,2021,0,1
36,2022,0,0
36,2023,0,1
36,2024,0,3
37,2015,0,2
37,2016,1,1
37,2017,0,0
37,2018,0,2
37,2019,0,1
37,2020,0,0
37,2021,0,0
37,2022,0,2
37,2023,0,0
37,2024,0,0
38,2015,2,0
38,2016,0,0
38,2017,0,0
38,2018,1,0
38,2019,0,0
38,2020,0,0
38,2021,0,0
38,2022,0,0
38,2023,0,0
38,2024,0,0
39,2015,0,0
39,2016,0,0
39,2017,0,0
39,2018,0,2
39,2019,0,3
39,2020,0,7
39,2021,0,1
39,2022,0,4
39,2023,1,3
39,2024,0,0
40,2015,0,1
40,2016,0,1
40,2017,0,0
40,2018,0,0
40,2019,1,0
40,2020,0,0
40,2021,0,2
40,2022,0,0
40,2023,0,1
40,2024,0,0
41,2015,0,0
41,2016,0,2
41,2017,0,1
41,2018,0,0
41,2019,0,2
41,2020,0,0
41,2021,0,0
41,2022,0,0
41,2023,0,0
41,2024,0,0
42,2015,0,0
42,2016,1,1
42,2017,0,0
42,2018,0,1
42,2019,0,1
42,2020,0,0
42,2021,0,0
42,2022,0,0
42,2023,0,0
42,2024,0,1
43,2015,0,1
43,2016,0,0
43,2017,0,1
43,2018,0,0
43,2019,0,1
43,2020,0,0
43,2021,0,0
43,2022,0,0
43,2023,0,0
43,2024,0,0
44,2015,0,0
